"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00020672","2000-01","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","15",",0","0",",0","5",",0","0",",0","","","","","-5.0",",0,08,+","2.5",",,0,01,","23.3",",0,20,+","","","273.5",",0","5.1",",,,0","9.51",",0","17.09",",,,0","1.93",",,,0"
"USC00020672","2000-02","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","10",",0","4",",0","0",",0","0",",0","2",",0","0",",0","10",",0","0",",0","","","","","-1.1",",0,01,","15.2",",,0,16,","24.4",",0,07,","","","189.8",",0","37.8",",,,0","11.79",",0","18.64",",,,0","4.94",",,,0"
"USC00020672","2000-03","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.9","0","0.9",",0","4",",0","2",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","","","","","0.0",",0,06,","3.8",",,0,08,+","28.9",",0,26,","","","128.1",",0","9.6",",,,0","14.23",",0","21.97",",,,0","6.49",",,,0"
"USC00020672","2000-04","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","98.6","0","97.7","1,0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","28","1,0","11","1,0","","","","","5.0","1,0,17,","1.3",",,0,16,","38.3","1,0,26,+","","","12.5","1,0","1.6",",,,0","21.27","1,0","30.58","1,,,0","11.96","1,,,0"
"USC00020672","2000-05","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","","","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0.5",",,0,18,","","","","","","","0.5",",,,0","","","","","",""
"USC00020672","2000-06","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","376.4",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","16.1",",0,08,","17.0",",,0,29,","44.4",",0,15,","","","0.0",",0","17.8",",,,0","30.88",",0","39.83",",,,0","21.93",",,,0"
"USC00020672","2000-07","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","358.1","2,0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","29","2,0","","","","","10.0","2,0,22,","0.0",",,0,31,+","45.6","2,0,29,","0.0","0","0.0","2,0","0.0",",,,0","30.68","2,0","41.58","2,,,0","19.78","2,,,0"
"USC00020672","2000-08","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","351.8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","","","9.4",",0,29,","12.7",",,0,29,","44.4",",0,05,","0.3","0","0.3",",0","18.8",",,,0","29.67",",0","39.73",",,,0","19.61",",,,0"
"USC00020672","2000-09","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","273.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","","","","","11.7",",0,18,","0.0",",,0,30,+","41.7",",0,16,+","0.3","0","0.0",",0","0.0",",,,0","27.44",",0","36.55",",,,0","18.34",",,,0"
"USC00020672","2000-10","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","62.1",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","23",",0","8",",0","","","","","3.9",",0,31,+","11.2",",,0,29,","37.2",",0,02,+","60.5","0","60.2",",0","49.1",",,,0","18.39",",0","26.36",",,,0","10.42",",,,0"
"USC00020672","2000-11","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","0.0",",0","2",",0","0",",0","0",",0","0",",0","9",",0","0",",0","4",",0","0",",0","","","","","-3.3",",0,17,+","2.0",",,0,09,","21.7",",0,04,","328.8","0","268.3",",0","3.0",",,,0","9.39",",0","17.24",",,,0","1.54",",,,0"
"USC00020672","2000-12","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","0.0",",0","1",",0","0",",0","0",",0","0",",0","18",",0","0",",0","1",",0","0",",0","","","","","-8.3",",0,15,","1.3",",,0,12,","21.1",",0,02,","629.3","0","300.5",",0","1.3",",,,0","8.64",",0","17.44",",,,0","-0.15",",,,0"
"USC00020672","2001-01","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","8",",0","3",",0","0",",0","0",",0","13",",0","0",",0","1",",0","0",",0","","","","","-5.0",",0,17,","16.0",",,0,11,","21.1",",0,04,","952.1","0","322.8",",0","26.7",",,,0","7.92",",0","15.17",",,,0","0.67",",,,0"
"USC00020672","2001-02","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","7",",0","4",",0","0",",0","0",",0","5",",0","0",",0","3",",0","0",",0","","","","","-6.1",",0,23,","15.2",",,0,27,","23.3",",0,06,","1204.4","0","252.3",",0","29.3",",,,0","9.32",",0","16.45",",,,0","2.20",",,,0"
"USC00020672","2001-03","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","5.9","0","5.9",",0","7",",0","3",",0","0",",0","0",",0","3",",0","0",",0","19",",0","0",",0","","","","","-5.0",",0,01,","22.6",",,0,09,","28.9",",0,31,+","1338.8","0","134.4",",0","38.0",",,,0","14.19",",0","22.48",",,,0","5.90",",,,0"
"USC00020672","2001-04","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","61.4","0","55.5","3,0","6","2,0","5","2,0","0","2,0","0","3,0","0","3,0","0","2,0","19","2,0","7","2,0","","","","","1.1","3,0,02,","6.1","2,,0,20,","35.6","2,0,26,","1421.6","0","82.8","2,0","17.2","2,,,0","17.46","3,0","25.63","2,,,0","9.29","3,,,0"
"USC00020672","2001-05","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","315.7","0","254.3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","","","","","5.0",",0,19,","0.8",",,0,13,","42.8",",0,24,","1426.3","0","4.7",",0","1.4",",,,0","26.38",",0","36.00",",,,0","16.76",",,,0"
"USC00020672","2001-06","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","601.3","0","285.6","2,0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","29","1,0","27","1,0","","","","","11.1","2,0,18,","0.3",",,0,25,","43.9","1,0,30,","1426.3","0","0.0","1,0","0.3",",,,0","28.59","2,0","38.49","1,,,0","18.69","2,,,0"
"USC00020672","2001-07","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","","","2","2,0","1","2,0","0","2,0","","","","","0","5,0","26","5,0","26","5,0","","","","","","","8.9","2,,0,06,","46.7","5,0,02,","","","","","9.4","2,,,0","","","40.17","5,,,0","",""
"USC00020672","2001-08","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","426.7",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","","","","","19.4",",0,22,","10.2",",,0,08,","43.3",",0,27,+","","","0.0",",0","15.7",",,,0","32.10",",0","40.25",",,,0","23.95",",,,0"
"USC00020672","2001-09","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","317.7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","13.3",",0,06,","0.5",",,0,03,","40.6",",0,23,","","","0.0",",0","0.5",",,,0","28.92",",0","37.99",",,,0","19.85",",,,0"
"USC00020672","2001-10","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","107.9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","","","5.0",",0,12,","0.0",",,0,31,+","37.8",",0,01,","","","7.2",",0","0.0",",,,0","21.58",",0","30.57",",,,0","12.60",",,,0"
"USC00020672","2001-11","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","14.2",",0","3",",0","0",",0","0",",0","0",",0","5",",0","0",",0","21",",0","0",",0","","","","","-3.9",",0,25,","1.8",",,0,04,","29.4",",0,03,","","","134.5",",0","3.6",",,,0","14.32",",0","22.03",",,,0","6.62",",,,0"
"USC00020672","2001-12","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","0.0",",0","8",",0","2",",0","0",",0","0",",0","20",",0","0",",0","0",",0","0",",0","","","","","-6.7",",0,15,","12.2",",,0,30,","19.4",",0,03,","","","379.4",",0","22.1",",,,0","6.09",",0","13.05",",,,0","-0.86",",,,0"
"USC00020672","2002-01","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","0",",0","21",",0","0",",0","1",",0","0",",0","","","","","-8.9",",0,23,","0.3",",,0,03,","21.7",",0,08,","","","366.1",",0","0.3",",,,0","6.52",",0","14.70",",,,0","-1.65",",,,0"
"USC00020672","2002-02","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","10",",0","0",",0","","","","","-2.2",",0,18,+","0.0",",,0,28,+","26.7",",0,23,","","","205.8",",0","0.0",",,,0","10.98",",0","19.50",",,,0","2.46",",,,0"
"USC00020672","2002-03","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","10.8","0","10.8",",0","3",",0","2",",0","0",",0","0",",0","7",",0","0",",0","17",",0","0",",0","","","","","-5.6",",0,02,","7.1",",,0,24,","31.1",",0,31,+","","","184.8",",0","14.0",",,,0","12.72",",0","21.45",",,,0","4.00",",,,0"
"USC00020672","2002-04","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","101.7","0","90.9","3,0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","27","3,0","10","3,0","","","","","3.9","3,0,19,","0.0",",,0,30,+","36.1","3,0,14,","","","21.9","3,0","0.0",",,,0","20.89","3,0","29.74","3,,,0","12.04","3,,,0"
"USC00020672","2002-05","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","278.7","0","177.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","","","6.1",",0,21,","0.0",",,0,31,+","42.2",",0,30,","","","7.2",",0","0.0",",,,0","23.81",",0","32.82",",,,0","14.80",",,,0"
"USC00020672","2002-06","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","639.3","0","360.6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","11.1",",0,09,","0.0",",T,0,01,","43.3",",0,25,","","","0.0",",0","0.0",",T,,0","30.35",",0","39.78",",,,0","20.93",",,,0"
"USC00020672","2002-07","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1130.1","0","490.8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","21.1",",0,17,","0.3",",,0,24,","47.2",",0,10,","0.0","0","0.0",",0","0.3",",,,0","34.16",",0","42.68",",,,0","25.65",",,,0"
"USC00020672","2002-08","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1518.8","0","388.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","16.1",",0,07,","0.0",",T,0,01,","43.9",",0,15,","0.0","0","0.0",",0","0.0",",T,,0","30.87",",0","39.93",",,,0","21.82",",,,0"
"USC00020672","2002-09","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1810.3","0","291.5",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","30",",0","27",",0","","","","","13.9",",0,30,","7.1",",,0,28,","41.7",",0,02,","0.0","0","0.0",",0","13.5",",,,0","28.05",",0","36.09",",,,0","20.00",",,,0"
"USC00020672","2002-10","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1918.9","0","108.6",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","29",",0","10",",0","","","","","8.3",",0,28,","7.9",",,0,26,","36.7",",0,13,+","19.2","0","19.2",",0","16.7",",,,0","21.22",",0","28.97",",,,0","13.47",",,,0"
"USC00020672","2002-11","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1920.0","0","1.1","1,0","3",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","21","1,0","0","1,0","","","","","2.8","1,0,17,+","2.0",",,0,29,","26.7","1,0,21,","126.2","0","107.0","1,0","4.3",",,,0","14.68","1,0","21.89","1,,,0","7.47","1,,,0"
"USC00020672","2002-12","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1920.0","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","12",",0","0",",0","0",",0","0",",0","","","","","-3.3",",0,24,","3.0",",,0,20,","20.6",",0,05,","421.9","0","295.7",",0","3.8",",,,0","8.79",",0","15.73",",,,0","1.86",",,,0"
"USC00020672","2003-01","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.3","0","0.3",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","18",",0","0",",0","","","","","-1.1",",0,01,","1.3",",,0,10,","27.2",",0,30,","576.9","0","155.0",",0","1.3",",,,0","13.34",",0","21.31",",,,0","5.37",",,,0"
"USC00020672","2003-02","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.3","0","0.0",",0","9",",0","6",",0","0",",0","0",",0","8",",0","0",",0","9",",0","0",",0","","","","","-6.1",",0,08,","18.3",",,0,25,","22.8",",0,22,+","786.3","0","209.4",",0","48.2",",,,0","10.85",",0","17.68",",,,0","4.03",",,,0"
"USC00020672","2003-03","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","12.8","0","12.5",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","","","","","2.2",",0,01,","16.8",",,0,16,","29.4",",0,31,","891.4","0","105.1",",0","35.9",",,,0","15.35",",0","22.39",",,,0","8.30",",,,0"
"USC00020672","2003-04","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","31.5","0","18.7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","1.1",",0,28,","8.9",",,0,13,","31.1",",0,09,","976.9","0","85.5",",0","19.9",",,,0","16.11",",0","24.54",",,,0","7.67",",,,0"
"USC00020672","2003-05","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","239.1","0","207.6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","2.2",",0,08,","2.0",",,0,08,","45.0",",0,28,","994.2","0","17.3",",0","2.8",",,,0","24.47",",0","33.31",",,,0","15.64",",,,0"
"USC00020672","2003-06","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","630.4","0","391.3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","30",",0","","","","","19.4",",0,12,","0.0",",,0,30,+","44.4",",0,28,","994.2","0","0.0",",0","0.0",",,,0","31.38",",0","39.87",",,,0","22.88",",,,0"
"USC00020672","2003-07","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1152.5","0","522.1",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","20.6",",0,02,","0.5",",,0,25,","46.7",",0,12,+","0.0","0","0.0",",0","0.8",",,,0","35.17",",0","43.84",",,,0","26.51",",,,0"
"USC00020672","2003-08","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1647.9","0","495.4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","18.3",",0,06,","1.3",",,0,22,","46.7",",0,31,","0.0","0","0.0",",0","3.9",",,,0","34.31",",0","41.50",",,,0","27.12",",,,0"
"USC00020672","2003-09","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1994.3","0","346.4",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","30",",0","30",",0","","","","","15.0",",0,25,","12.7",",,0,05,","46.1",",0,01,","0.0","0","0.0",",0","12.7",",,,0","29.88",",0","38.57",",,,0","21.19",",,,0"
"USC00020672","2003-10","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","2172.1","0","177.8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","21",",0","","","","","5.6",",0,31,","0.0",",,0,31,+","38.9",",0,01,","5.2","0","5.2",",0","0.0",",,,0","23.90",",0","32.99",",,,0","14.81",",,,0"
"USC00020672","2003-11","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","2172.1","0","0.0",",0","5",",0","3",",0","0",",0","0",",0","5",",0","0",",0","7",",0","0",",0","","","","","-3.9",",0,22,","5.1",",,0,16,","26.1",",0,10,","216.0","0","210.8",",0","12.5",",,,0","11.31",",0","18.24",",,,0","4.37",",,,0"
"USC00020672","2003-12","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","2172.1","0","0.0",",0","5",",0","3",",0","0",",0","0",",0","14",",0","0",",0","4",",0","0",",0","","","","","-6.1",",0,27,","20.1",",,0,25,","21.7",",0,07,+","530.7","0","314.7",",0","31.0",",,,0","8.18",",0","15.04",",,,0","1.32",",,,0"
"USC00020672","2004-01","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0","1,0","2",",0","1",",0","0",",0","0","1,0","14","1,0","0","1,0","0","1,0","0","1,0","","","","","-5.6","1,0,03,","2.5",",,0,30,","20.0","1,0,12,+","822.4","0","291.7","1,0","3.8",",,,0","8.61","1,0","16.00","1,,,0","1.22","1,,,0"
"USC00020672","2004-02","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0",",0","10",",0","8",",0","0",",0","0",",0","12",",0","0",",0","1",",0","0",",0","","","","","-4.4",",0,11,","14.0",",,0,26,","22.8",",0,17,","1111.7","0","289.3",",0","55.7",",,,0","8.36",",0","14.77",",,,0","1.95",",,,0"
"USC00020672","2004-03","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","75.4","0","75.4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","7",",0","","","","","3.3",",0,05,","1.3",",,0,01,","35.6",",0,21,","1151.4","0","39.7",",0","1.3",",,,0","19.48",",0","27.87",",,,0","11.10",",,,0"
"USC00020672","2004-04","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","116.4","0","41.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","28",",0","4",",0","","","","","6.1",",0,29,","13.7",",,0,02,","36.1",",0,27,","1181.4","0","30.0",",0","40.1",",,,0","18.70",",0","26.87",",,,0","10.53",",,,0"
"USC00020672","2004-05","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","314.1","0","197.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","10.0",",0,11,","0.0",",,0,31,+","38.9",",0,31,+","1181.4","0","0.0",",0","0.0",",,,0","24.71",",0","34.12",",,,0","15.30",",,,0"
"USC00020672","2004-06","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","681.7","0","367.6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","12.2",",0,09,","0.8",",,0,16,","43.9",",0,05,","1181.4","0","0.0",",0","0.8",",,,0","30.59",",0","39.91",",,,0","21.26",",,,0"
"USC00020672","2004-07","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1145.3","0","463.6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","20.0",",0,01,","15.0",",,0,15,","45.0",",0,22,+","0.0","0","0.0",",0","16.1",",,,0","33.29",",0","42.29",",,,0","24.29",",,,0"
"USC00020672","2004-08","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1558.5","0","413.2",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","17.8",",0,28,+","2.8",",,0,03,","46.7",",0,11,","0.0","0","0.0",",0","8.0",",,,0","31.66",",0","40.51",",,,0","22.82",",,,0"
"USC00020672","2004-09","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1832.7","0","274.2",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","30",",0","23",",0","","","","","11.1",",0,21,","5.3",",,0,28,","43.3",",0,01,","0.0","0","0.0",",0","5.3",",,,0","27.47",",0","36.18",",,,0","18.76",",,,0"
"USC00020672","2004-10","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1929.2","0","96.5",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","22",",0","11",",0","","","","","3.3",",0,31,","36.8",",,0,20,","35.6",",0,09,+","58.9","0","58.9",",0","77.2",",,,0","19.54",",0","26.45",",,,0","12.63",",,,0"
"USC00020672","2004-11","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1932.5","0","3.3",",0","","","","","","","0",",0","5",",0","0",",0","7",",0","0",",0","","","","","-5.0",",0,29,","","","27.2",",0,05,","273.3","0","214.4",",0","","","11.30",",0","17.95",",,,0","4.64",",,,0"
"USC00020672","2004-12","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","1932.5","0","0.0",",0","6",",0","3",",0","1",",0","0",",0","9",",0","0",",0","0",",0","0",",0","","","","","-7.2",",0,23,","29.7",",,0,28,","20.6",",0,12,+","577.5","0","304.2",",0","47.1",",,,0","8.52",",0","14.93",",,,0","2.11",",,,0"
"USC00020672","2005-01","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0","4,0","12","2,0","8","2,0","0","2,0","0","4,0","3","4,0","0","3,0","5","3,0","0","3,0","","","","","-2.2","4,0,13,","17.0","2,,0,27,","22.2","3,0,20,","806.2","0","228.7","3,0","45.7","2,,,0","9.79","4,0","15.45","3,,,0","4.14","4,,,0"
"USC00020672","2005-02","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","0.0","0","0.0","2,0","11","2,0","4","2,0","0","2,0","0","2,0","4","2,0","0","1,0","0","1,0","0","1,0","","","","","-1.7","2,0,03,","15.7","2,,0,12,","20.0","1,0,17,+","995.4","0","189.2","1,0","53.5",",a,,0","11.05","2,0","17.18","1,,,0","4.92","2,,,0"
"USC00020672","2005-03","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","","","7",",0","3",",0","0",",0","","","","","","","","","","","","","","","","","6.1",",,0,23,+","","","","","","","19.6",",,,0","","","","","",""
"USC00020672","2005-04","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","17.8","3,0","6",",0","4",",0","0",",0","0","3,0","0","3,0","0","3,0","22","3,0","1","3,0","","","","","2.8","3,0,11,","13.5",",,0,24,","32.8","3,0,18,","","","53.1","3,0","28.6",",,,0","17.03","3,0","25.43","3,,,0","8.62","3,,,0"
"USC00020672","2005-05","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","","","4",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","3.6",",,0,06,","","","","","","","8.4",",,,0","","","","","",""
"USC00020672","2005-06","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","","","4","3,0","3","3,0","0","3,0","","","","","","","","","","","","","","","","","7.9","3,,0,23,","","","","","","","15.9",",a,,0","","","","","",""
"USC00020672","2005-07","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","425.7","3,0","1",",0","1",",0","0",",0","0","3,0","0","3,0","0","3,0","28","3,0","28","3,0","","","","","20.0","3,0,07,","4.3",",,0,24,","48.3","3,0,19,+","0.0","0","0.0","3,0","4.3",",,,0","33.54","3,0","43.48","3,,,0","23.59","3,,,0"
"USC00020672","2005-08","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","373.1","3,0","3","1,0","2","1,0","0","1,0","0","3,0","0","3,0","0","3,0","28","3,0","28","3,0","","","","","20.0","3,0,16,","13.0","1,,0,03,","43.9","3,0,30,+","0.0","0","0.0","3,0","16.1","1,,,0","31.66","3,0","39.96","3,,,0","23.35","3,,,0"
"USC00020672","2005-09","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","","","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","1.3",",,0,28,","","","","","","","2.1",",,,0","","","","","",""
"USC00020672","2005-10","36.9139","-113.9423","588.6","BEAVER DAM, AZ US","","","107.0",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","","","7.2",",0,11,","10.9",",,0,18,","36.7",",0,02,","","","7.5",",0","23.7",",,,0","21.54",",0","29.33",",,,0","13.76",",,,0"
